############################################################
# group name of the atoms under study      : all
# total number of atoms in the group       : 512
# dimension of the system                  : 3 D
# number of atoms per unit cell            : 1
# dimension of the FFT mesh                : 8 x 8 x 8
# number of wait steps before measurement  : 500000
# frequency of GFC measurement             : 10
# output result after this many measurement: 50000
# number of processors used by this run    : 4
############################################################
# mapping information between lattice index and atom id
# nx ny nz nucell
8 8 8 1
# l1 l2 l3 k atom_id
6 2 7 0 471
6 3 0 0 31
6 3 1 0 95
6 3 2 0 159
6 3 3 0 223
6 3 4 0 287
6 3 5 0 351
6 3 6 0 415
6 3 7 0 479
6 4 0 0 39
6 4 1 0 103
6 4 2 0 167
6 4 3 0 231
6 4 4 0 295
6 4 5 0 359
6 4 6 0 423
6 4 7 0 487
6 5 0 0 47
6 5 1 0 111
6 5 2 0 175
6 5 3 0 239
6 5 4 0 303
6 5 5 0 367
6 5 6 0 431
6 5 7 0 495
6 6 0 0 55
6 6 1 0 119
6 6 2 0 183
6 6 3 0 247
6 6 4 0 311
6 6 5 0 375
6 6 6 0 439
6 6 7 0 503
6 7 0 0 63
6 7 1 0 127
6 7 2 0 191
6 7 3 0 255
6 7 4 0 319
6 7 5 0 383
6 7 6 0 447
6 7 7 0 511
7 0 0 0 8
7 0 1 0 72
7 0 2 0 136
7 0 3 0 200
7 0 4 0 264
7 0 5 0 328
7 0 6 0 392
7 0 7 0 456
7 1 0 0 16
7 1 1 0 80
7 1 2 0 144
7 1 3 0 208
7 1 4 0 272
7 1 5 0 336
7 1 6 0 400
7 1 7 0 464
7 2 0 0 24
7 2 1 0 88
7 2 2 0 152
7 2 3 0 216
7 2 4 0 280
7 2 5 0 344
7 2 6 0 408
7 2 7 0 472
7 3 0 0 32
7 3 1 0 96
7 3 2 0 160
7 3 3 0 224
7 3 4 0 288
7 3 5 0 352
7 3 6 0 416
7 3 7 0 480
7 4 0 0 40
7 4 1 0 104
7 4 2 0 168
7 4 3 0 232
7 4 4 0 296
7 4 5 0 360
7 4 6 0 424
7 4 7 0 488
7 5 0 0 48
7 5 1 0 112
7 5 2 0 176
7 5 3 0 240
7 5 4 0 304
7 5 5 0 368
7 5 6 0 432
7 5 7 0 496
7 6 0 0 56
7 6 1 0 120
7 6 2 0 184
7 6 3 0 248
7 6 4 0 312
7 6 5 0 376
7 6 6 0 440
7 6 7 0 504
7 7 0 0 64
7 7 1 0 128
7 7 2 0 192
7 7 3 0 256
7 7 4 0 320
7 7 5 0 384
7 7 6 0 448
7 7 7 0 512
############################################################
############################################################
# Current time step                      : 1000000
# Total number of measurements           : 50000
# Average temperature of the measurement : 299.371
# Boltzmann constant under current units : 8.61734e-05
# basis vector A1 = [2.56874 0 0]
# basis vector A2 = [1.2781 2.22459 0]
# basis vector A3 = [1.2781 0.737909 2.09737]
############################################################
# qx	 qy 	 qz 		 Phi(q)
0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0
0 0 0.125 0.0057867 -5.61922e-21 0.000455719 0.000350575 0.000160414 1.67948e-05 0.000455719 -0.000350575 0.0061509 -5.50613e-24 7.13483e-05 -1.89886e-05 0.000160414 -1.67948e-05 7.13483e-05 1.89886e-05 0.0320952 0
0 0 0.25 0.0174408 3.73881e-22 -0.000322321 0.000174708 0.000521035 2.80926e-05 -0.000322321 -0.000174708 0.0189071 4.40491e-23 0.000286013 -7.614e-05 0.000521035 -2.80926e-05 0.000286013 7.614e-05 0.106901 0
0 0 0.375 0.0316602 0 0.000115578 -0.000577345 0.0011568 7.0554e-06 0.000115578 0.000577345 0.0295334 3.52392e-22 0.000459358 -4.0226e-05 0.0011568 -7.0554e-06 0.000459358 4.0226e-05 0.192826 0
0 0 0.5 0.0430786 0 0.00272095 0 0.00145084 0 0.00272095 0 0.038466 0 0.000780981 0 0.00145084 0 0.000780981 0 0.217463 0
0 0 0.625 0.0316602 0 0.000115578 0.000577345 0.0011568 -7.0554e-06 0.000115578 -0.000577345 0.0295334 -3.52392e-22 0.000459358 4.0226e-05 0.0011568 7.0554e-06 0.000459358 -4.0226e-05 0.192826 0
0 0 0.75 0.0174408 -3.73881e-22 -0.000322321 -0.000174708 0.000521035 -2.80926e-05 -0.000322321 0.000174708 0.0189071 -4.40491e-23 0.000286013 7.614e-05 0.000521035 2.80926e-05 0.000286013 -7.614e-05 0.106901 0
0 0 0.875 0.0057867 5.61922e-21 0.000455719 -0.000350575 0.000160414 -1.67948e-05 0.000455719 0.000350575 0.0061509 5.50613e-24 7.13483e-05 1.89886e-05 0.000160414 1.67948e-05 7.13483e-05 -1.89886e-05 0.0320952 0
0 0.125 0 0.00519813 -4.92644e-21 0.000350025 -8.58454e-05 0.000502716 -0.000287454 0.000350025 8.58454e-05 0.0306488 -4.89599e-22 -0.0086666 3.19976e-06 0.000502716 0.000287454 -0.0086666 -3.19976e-06 0.00899065 0
0 0.125 0.125 0.0154423 0 0.000799451 -9.95308e-05 -0.000729784 0.000113432 0.000799451 9.95308e-05 0.0226115 0 0.00587374 3.23817e-05 -0.000729784 -0.000113432 0.00587374 -3.23817e-05 0.0185304 -1.4081e-21
0 0.125 0.25 0.0289567 -3.53597e-22 0.000178114 2.34357e-05 0.000704807 0.000168487 0.000178114 -2.34357e-05 0.0316422 0 0.0204767 9.9763e-06 0.000704807 -0.000168487 0.0204767 -9.9763e-06 0.0874654 0
0 0.125 0.375 0.0448265 0 0.00267992 -0.000281847 0.00071536 -2.90782e-05 0.00267992 0.000281847 0.0458691 0 0.01777 3.239e-05 0.00071536 2.90782e-05 0.01777 -3.239e-05 0.154104 -9.68025e-23
0 0.125 0.5 0.0458922 0 0.000688014 -0.00017471 0.00115368 -3.3757e-05 0.000688014 0.00017471 0.058058 0 0.0084455 4.34379e-05 0.00115368 3.3757e-05 0.0084455 -4.34379e-05 0.200867 0
0 0.125 0.625 0.0364449 8.79721e-23 0.000821798 -4.74087e-05 0.000991861 0.000116493 0.000821798 4.74087e-05 0.0659623 -1.41014e-22 -0.00577158 9.96157e-06 0.000991861 -0.000116493 -0.00577158 -9.96157e-06 0.197686 0
0 0.125 0.75 0.0219052 -4.3986e-23 0.000424122 -9.64255e-05 0.000592121 8.46879e-05 0.000424122 9.64255e-05 0.0566692 -3.86817e-22 -0.0168903 0.000115332 0.000592121 -8.46879e-05 -0.0168903 -0.000115332 0.130604 4.44993e-21
